"Survived","Pclass","Sex","Age","SibSp","Parch","Embarked"
"1","2","female",30,"0","0","S"
"1","3","male",17,"0","0","S"
"1","1","male",48,"0","2","S"
"1","2","female",10,"0","1","S"
"1","1","male",40,"0","0","S"
"1","3","female",61,"2","1","C"
"1","1","male",64,"0","0","S"
"0","2","male",43,"1","2","S"
"0","3","male",30,"1","0","S"
"0","1","male",34,"0","0","C"
"1","1","male",60,"1","0","C"
"0","3","male",25,"0","0","S"
"1","3","male",32,"0","0","C"
"0","1","male",79,"0","0","S"
"1","1","female",42,"1","0","S"
"1","2","female",62,"0","0","S"
"0","3","male",63,"0","0","Q"
"1","1","male",59,"0","0","S"
"0","3","male",40,"0","0","S"
"0","1","male",58,"0","0","S"
"0","2","male",59,"0","0","S"
"0","3","male",25,"0","0","S"
"0","3","male",46,"0","0","S"
"0","2","male",46,"0","0","S"
"0","1","male",69,"0","0","S"
"0","3","male",63,"0","0","Q"
"1","3","female",3,"2","1","C"
"0","3","male",22,"0","0","S"
"0","3","male",46,"0","0","S"
"1","2","female",39,"1","2","S"
"1","2","female",23,"0","0","C"
"0","3","female",22,"0","0","S"
"0","1","male",52,"0","0","S"
"0","2","male",40,"1","0","S"
"0","3","male",32,"1","0","S"
"0","3","male",22,"0","0","S"
"1","3","female",18,"0","1","S"
"0","3","male",88,"5","2","S"
"0","2","male",46,"0","0","S"
"0","3","male",62,"0","0","S"
"1","3","female",77,"0","0","S"
"1","1","male",27,"1","0","C"
"0","3","female",34,"3","1","S"
"1","1","female",42,"1","0","S"
"0","1","male",71,"0","0","C"
"0","3","male",34,"0","0","S"
"1","3","male",88,"1","1","S"
"0","3","male",30,"1","0","S"
"0","3","male",21,"0","0","S"
"0","1","male",67,"0","0","S"
"0","1","male",84,"0","0","C"
"0","3","male",21,"0","0","S"
"0","3","male",17,"0","0","C"
"1","1","female",66,"1","0","C"
"0","3","male",17,"0","0","S"
"0","1","female",27,"1","2","S"
"0","3","male",25,"0","0","S"
"0","3","male",15,"0","0","S"
"0","3","female",21,"0","0","Q"
"0","3","female",27,"0","0","Q"
"0","3","female",45,"0","0","S"
"1","1","female",14,"0","0","S"
"0","1","male",16,"1","0","C"
"1","2","female",39,"0","2","S"
"1","1","male",42,"0","0","S"
"0","3","male",30,"0","0","S"
"1","3","male",28,"0","0","S"
"1","3","male",32,"0","0","Q"
"0","3","male",25,"0","0","S"
"1","1","male",43,"0","0","S"
"1","1","female",66,"1","0","C"
"0","3","male",25,"0","0","S"
"0","1","male",58,"0","0","S"
"1","2","female",40,"0","0","S"
"0","3","male",25,"0","0","Q"
"1","2","female",43,"1","0","S"
"0","3","male",37,"0","0","S"
"1","1","female",34,"0","0","S"
"0","3","male",22,"0","0","S"
"0","3","male",34,"0","0","C"
"1","1","female",54,"0","1","C"
"0","3","male",24,"0","0","C"
"0","3","male",50,"0","0","Q"
"1","2","female",62,"0","0","S"
"0","1","male",57,"0","0","S"
"0","3","male",47,"0","0","S"
"0","2","male",23,"2","1","S"
"1","2","female",18,"1","1","S"
"0","3","male",24,"0","0","C"
"0","3","male",15,"1","1","C"
"1","3","female",29,"0","2","C"
"0","3","female",34,"0","0","S"
"1","2","female",81,"0","2","S"
"0","1","male",55,"0","0","S"
"1","1","female",34,"0","0","C"
"0","3","male",21,"0","0","S"
"1","1","female",22,"0","2","C"
"1","1","female",43,"0","2","S"
"0","3","female",88,"4","2","S"
"0","3","female",8,"4","2","S"
"1","2","male",37,"1","0","S"
"0","1","male",62,"1","0","C"
"0","1","male",78,"0","0","S"
"1","2","female",17,"1","0","S"
"1","2","male",52,"0","0","C"
"0","3","male",39,"1","1","S"
"1","2","male",86,"1","1","S"
"1","1","male",15,"0","2","C"
"0","2","male",29,"0","0","S"
"0","3","male",21,"0","0","Q"
"1","3","male",22,"0","0","C"
"1","3","female",22,"0","0","S"
"0","1","male",76,"0","0","S"
"1","1","female",59,"1","0","C"
"0","1","male",49,"0","0","C"
"1","1","female",47,"1","1","S"
"1","3","female",43,"1","0","S"
"0","3","male",63,"0","0","Q"
"0","3","male",49,"0","0","S"
"0","2","male",30,"0","0","S"
"0","3","male",25,"0","0","S"
"0","3","female",25,"0","0","S"
"0","3","male",25,"2","0","S"
"0","3","male",17,"0","0","S"
"0","3","female",32,"0","4","S"
"0","3","male",24,"0","0","C"
"1","3","male",37,"0","0","S"
"1","2","male",76,"0","0","S"
"1","1","female",65,"2","0","S"
"1","1","male",43,"0","0","S"
"1","3","female",22,"0","0","Q"
"0","3","male",14,"0","0","S"
"0","3","male",17,"0","0","S"
"1","2","female",40,"0","0","S"
"1","1","female",47,"1","0","S"
"0","3","female",16,"1","0","C"
"1","3","male",37,"0","0","S"
"1","2","female",27,"1","1","S"
"1","1","female",47,"1","1","C"
"0","2","male",66,"0","0","S"
"0","1","male",43,"0","0","C"
"0","3","male",39,"0","0","C"
"1","1","female",16,"0","2","S"
"0","2","male",58,"0","0","S"
"1","1","male",74,"1","1","C"
"0","3","male",22,"0","0","S"
"0","3","male",25,"0","0","S"
"0","3","male",42,"0","0","S"
"1","1","female",64,"1","0","C"
"0","3","male",58,"0","0","S"
"0","3","female",35,"0","2","Q"
"0","2","male",45,"1","0","S"
"0","3","male",43,"1","1","S"
"1","2","female",49,"0","0","S"
"0","3","male",60,"0","0","S"
"0","3","male",34,"0","0","C"
"1","1","male",60,"1","0","C"
"1","2","female",25,"2","1","S"
"0","3","male",39,"0","0","S"
"0","1","male",69,"0","0","S"
"0","3","male",54,"0","0","S"
"1","1","male",42,"0","0","C"
"0","3","male",43,"1","0","S"
"0","3","male",34,"0","0","S"
"1","1","male",29,"0","0","S"
"1","2","female",22,"1","2","C"
"1","1","female",49,"0","0","S"
"0","3","female",47,"1","5","S"
"0","3","male",27,"0","0","S"
"1","3","female",17,"1","0","Q"
"0","3","male",63,"0","0","Q"
"0","3","male",42,"0","0","S"
"1","2","female",25,"1","2","S"
"0","3","male",40,"1","1","S"
"0","3","female",28,"1","0","S"
"1","2","female",48,"2","1","S"
"0","2","male",28,"0","0","S"
"0","3","male",29,"1","0","C"
"1","1","male",52,"1","0","S"
"1","3","male",19,"1","1","C"
"0","3","male",21,"0","0","S"
"0","3","male",21,"0","0","S"
"0","1","male",75,"0","0","S"
"0","2","male",70,"0","0","Q"
"1","1","female",21,"0","0","S"
"0","3","male",28,"0","0","S"
"0","3","male",63,"0","0","Q"
"1","1","male",87,"0","0","S"
"0","3","male",63,"0","0","S"
"1","1","male",37,"0","0","C"
"0","1","male",46,"0","0","S"
"0","3","female",88,"3","2","S"
"1","2","female",30,"0","0","S"
"0","3","male",37,"0","0","S"
"0","2","male",36,"1","1","S"
"0","3","female",51,"0","5","S"
"0","3","male",28,"1","0","S"
"0","3","male",19,"0","0","S"
"1","1","female",25,"0","0","C"
"0","3","female",18,"3","2","S"
"1","3","male",30,"0","0","S"
"1","3","female",3,"2","1","C"
"1","1","male",59,"1","0","C"
"0","3","male",17,"0","0","S"
"1","1","male",69,"0","0","C"
"0","3","male",25,"0","0","S"
"1","3","female",23,"0","0","S"
"0","3","male",39,"0","0","S"
"1","2","female",16,"0","1","S"
"0","3","male",21,"0","0","S"
"1","3","female",22,"0","0","Q"
"0","3","female",16,"0","0","Q"
"0","2","male",25,"2","0","S"
"0","3","male",39,"0","0","S"
"0","3","female",37,"1","1","Q"
"0","2","male",23,"0","0","S"
"0","1","male",71,"0","2","C"
"1","1","male",62,"2","0","S"
"0","3","male",49,"0","0","C"
"0","1","male",58,"0","0","S"
"0","3","male",43,"0","0","S"
"1","3","male",19,"1","0","S"
"0","2","male",37,"2","0","S"
"0","2","male",27,"0","0","S"
"0","3","male",21,"0","0","S"
"0","3","male",53,"0","0","S"
"1","1","female",42,"1","0","S"
"1","2","female",49,"1","1","S"
"0","1","male",36,"1","0","S"
"0","2","male",82,"0","0","S"
"1","2","male",36,"0","0","S"
"0","2","male",46,"0","0","S"
"0","3","male",16,"0","0","S"
"0","3","male",26,"0","0","S"
"1","3","female",16,"0","0","S"
"0","3","female",53,"1","6","S"
"1","1","male",43,"0","1","C"
"0","3","female",27,"0","0","Q"
"1","1","male",29,"0","0","C"
"0","3","male",19,"0","0","S"
"0","3","male",11,"5","2","S"
"0","2","male",74,"1","1","S"
"0","2","male",27,"1","2","C"
"0","3","male",11,"4","1","S"
"0","3","male",17,"0","0","S"
"0","3","male",16,"0","0","S"
"1","1","female",13,"0","1","S"
"1","1","male",36,"1","0","S"
"1","3","female",48,"0","1","C"
"1","3","male",30,"0","0","S"
"0","3","male",27,"0","0","C"
"0","1","male",74,"0","0","S"
"0","2","male",64,"0","0","S"
"0","3","male",54,"0","0","S"
"1","3","female",22,"0","0","Q"
"0","1","male",60,"1","1","C"
"0","3","male",52,"0","0","S"
"1","1","female",16,"1","0","C"
"1","1","male",42,"0","0","S"
"0","3","female",16,"0","1","C"
"0","3","male",27,"0","0","Q"
"0","3","male",28,"1","0","S"
"0","2","male",47,"0","0","S"
"1","2","female",55,"0","0","S"
"1","1","male",52,"0","0","S"
"1","1","female",22,"0","0","S"
"1","3","male",48,"1","1","C"
"1","1","female",25,"0","0","C"
"0","1","male",76,"0","0","S"
"1","1","male",59,"1","0","S"
"0","3","male",32,"0","0","S"
"0","2","male",64,"0","0","S"
"0","3","male",17,"0","0","S"
"1","1","female",46,"0","0","C"
"1","2","female",29,"0","0","S"
"0","3","male",17,"0","0","Q"
"0","3","male",39,"0","0","S"
"1","2","female",73,"0","1","S"
"0","3","male",15,"1","0","S"
"0","2","male",40,"0","0","S"
"0","2","male",62,"0","0","S"
"1","1","male",29,"1","0","S"
"0","3","male",19,"0","0","S"
"1","2","female",34,"3","0","S"
"1","3","female",22,"0","0","Q"
"0","2","male",27,"1","0","S"
"0","3","female",27,"1","0","S"
"1","1","female",32,"0","0","S"
"0","3","male",8,"0","0","C"
"0","2","male",46,"0","0","S"
"0","2","male",23,"0","0","S"
"0","2","male",23,"0","0","S"
"0","3","male",31,"0","0","S"
"0","3","female",59,"1","3","S"
"1","1","male",42,"0","0","C"
"0","3","male",39,"0","0","S"
"0","3","male",39,"0","0","S"
"1","1","male",32,"0","0","S"
"0","1","male",43,"1","0","S"
"1","1","female",21,"2","2","C"
"0","3","male",25,"1","0","S"
"1","3","male",36,"0","0","S"
"0","1","male",82,"1","1","S"
"0","3","male",14,"1","1","S"
"1","2","female",34,"0","0","S"
"0","1","male",17,"1","0","S"
"0","3","male",36,"0","0","Q"
"1","2","female",48,"1","1","S"
"1","3","male",73,"0","1","S"
"0","3","male",39,"0","0","S"
"0","3","male",23,"0","0","S"
"1","2","female",59,"1","2","S"
"1","2","male",2,"1","1","S"
"0","3","male",30,"0","0","S"
"0","2","male",16,"0","0","S"
"0","3","male",40,"0","0","S"
"1","1","female",39,"0","0","S"
"0","3","male",21,"0","0","S"
"0","3","male",51,"0","0","S"
"1","3","male",19,"0","0","C"
"1","1","female",43,"1","2","S"
"0","3","male",14,"0","0","S"
"1","1","female",63,"1","0","S"
"0","1","male",69,"0","0","C"
"0","3","female",35,"0","0","Q"
"0","3","male",34,"1","0","Q"
"0","3","male",37,"0","0","S"
"0","3","male",25,"0","0","S"
"0","3","male",59,"0","0","S"
"0","2","female",70,"0","0","S"
"0","3","male",34,"0","0","C"
"1","2","female",66,"1","3","S"
"0","3","male",16,"0","0","S"
"0","3","male",63,"0","0","Q"
"1","3","female",61,"0","0","S"
"0","3","male",63,"0","0","Q"
"1","1","female",53,"0","1","S"
"1","3","female",10,"0","0","C"
"1","1","female",15,"1","0","S"
"0","1","male",32,"0","0","S"
"0","3","male",28,"1","2","S"
"0","3","male",27,"0","0","S"
"0","3","male",27,"0","0","S"
"1","3","female",16,"0","0","S"
"0","3","male",86,"4","1","Q"
"1","3","male",6,"1","2","S"
"0","1","male",57,"0","0","C"
"0","3","male",63,"0","0","Q"
"0","2","male",14,"0","0","S"
"0","3","female",21,"8","2","S"
"0","1","male",69,"0","0","C"
"0","3","male",27,"0","0","S"
"0","2","male",47,"0","0","S"
"1","1","female",60,"0","0","S"
"1","3","female",36,"0","0","S"
"0","3","male",34,"0","0","C"
"0","3","female",34,"1","1","S"
"0","2","male",40,"0","0","S"
"1","2","female",36,"1","1","S"
"1","1","male",8,"1","2","S"
"1","3","male",1,"0","1","C"
"1","3","male",29,"0","0","S"
"0","3","male",36,"0","0","S"
"0","1","male",47,"0","0","S"
"0","3","female",16,"0","0","S"
"0","2","male",47,"0","0","S"
"1","1","female",39,"1","0","S"
"0","3","male",28,"0","0","S"
"0","3","male",47,"0","0","S"
"0","2","male",42,"0","0","S"
"0","3","female",73,"4","2","S"
"0","3","male",35,"0","0","S"
"0","1","male",46,"0","0","S"
"0","3","female",23,"0","0","S"
"0","2","male",36,"1","1","C"
"0","3","male",53,"0","0","S"
"0","3","male",7,"3","2","S"
"1","1","female",64,"1","1","S"
"1","3","male",29,"0","0","S"
"0","1","male",46,"0","0","S"
"1","3","female",29,"0","1","S"
"0","3","male",18,"4","1","S"
"0","3","male",42,"0","0","Q"
"0","3","male",37,"0","0","S"
"1","2","male",6,"0","2","C"
"1","3","male",32,"0","0","Q"
"1","1","female",76,"0","0","S"
"1","3","female",13,"1","0","C"
"1","2","male",4,"1","1","S"
"0","3","male",24,"0","0","C"
"0","3","male",23,"0","0","S"
"0","3","male",16,"0","0","S"
"1","1","female",47,"1","1","C"
"0","3","male",21,"0","0","S"
"0","3","male",25,"0","0","S"
"1","3","male",37,"0","0","S"
"1","1","male",64,"0","0","C"
"0","3","male",19,"0","0","S"
"0","2","male",14,"0","0","S"
"1","1","female",34,"0","0","C"
"0","3","male",41,"0","0","C"
"0","3","male",15,"0","0","S"
"0","3","male",52,"0","0","S"
"0","3","male",11,"8","2","S"
"0","3","male",42,"0","0","C"
"0","2","male",30,"0","1","S"
"1","1","female",42,"1","0","C"
"0","3","male",48,"4","2","S"
"0","3","male",85,"0","0","S"
"0","3","female",88,"1","1","C"
"1","1","female",14,"0","1","S"
"0","2","female",54,"1","0","S"
"1","3","female",16,"0","1","S"
"1","1","female",55,"1","1","S"
"1","1","male",63,"0","0","S"
"1","3","female",25,"0","3","C"
"0","3","male",24,"0","0","C"
"0","3","male",51,"2","0","S"
"0","2","male",21,"1","0","S"
"1","1","female",59,"0","0","S"
"0","3","female",21,"8","2","S"
"0","2","male",25,"0","0","S"
"1","2","female",52,"0","0","S"
"1","2","female",29,"1","0","C"
"0","1","male",36,"0","0","S"
"0","3","male",30,"0","0","S"
"1","3","male",48,"1","1","S"
"0","3","male",28,"0","0","S"
"1","1","female",58,"1","1","S"
"0","1","male",39,"0","0","S"
"0","3","male",58,"0","0","S"
"1","2","female",30,"1","0","C"
"1","3","female",13,"0","0","C"
"0","3","male",19,"0","0","S"
"0","3","male",17,"0","0","S"
"0","3","male",39,"0","0","S"
"1","1","female",69,"0","1","C"
"1","2","female",27,"0","1","S"
"0","3","male",39,"0","0","S"
"0","3","female",22,"0","0","S"
"0","2","male",30,"0","0","S"
"0","3","male",27,"0","0","S"
"0","3","female",47,"0","5","Q"
"0","2","male",29,"0","0","S"
"1","1","female",17,"0","0","S"
"0","3","female",34,"1","2","S"
"1","1","male",28,"0","0","C"
"0","3","male",37,"0","0","Q"
